t	NO2_conc	x_coord	y_coord
1	34.81362191	173053.7328	444919.8758
2	34.99756027	173054.9913	444920.0658
3	36.51062416	173056.1347	444920.4408
4	39.59988906	173057.3919	444921.0016
5	36.05012362	173058.6491	444921.5625
6	36.44030928	173060.3628	444922.4958
7	37.04417528	173061.7317	444923.7988
8	36.04743603	173062.7566	444925.286
9	35.9887926	173063.2098	444926.5856
10	36.2247388	173062.9748	444928.2537
11	36.06858922	173062.2833	444929.5492
12	35.46878721	173061.1332	444931.0284
13	34.42859632	173059.7542	444932.5069
14	36.63834355	173058.033	444933.6133
15	31.38712165	173056.5436	444933.9787
16	32.20496104	173054.7134	444933.6012
17	33.2751939	173051.9754	444930.9953
18	32.81342687	173051.5249	444928.9539
19	32.05386345	173051.5337	444926.5433
20	30.58706509	173052.0003	444924.1344
21	32.11178399	173052.8096	444921.9122
22	34.98682726	173053.8479	444919.6908
23	34.23291397	173055.1105	444918.7682
24	33.21394393	173056.5986	444918.7736
25	31.69636501	173058.0854	444919.1498
26	33.04381645	173059.7992	444920.0832
27	33.1291103	173061.7391	444921.7591
28	32.91051684	173063.5633	444923.8055
29	34.66887443	173064.2441	444925.4768
30	34.67999227	173064.0118	444926.4031
31	35.75208823	173063.6637	444927.6999
32	33.84441195	173063.0873	444928.8104
33	31.7639443	173062.0523	444930.1046
34	33.70307211	173060.445	444931.3968
35	32.42930253	173058.3818	444932.1311
36	29.77309299	173056.5489	444932.4953
37	28.20417851	173054.4891	444932.3024
38	32.67424389	173052.6609	444931.3686
39	34.17912059	173051.1775	444930.0652
40	30.02626044	173050.6112	444928.3943
41	32.43699132	173050.6165	444926.9109
42	30.43573282	173051.3094	444925.2445
43	32.98659469	173052.6884	444923.7661
44	31.8708705	173054.4082	444923.0306
45	32.05672156	173056.4701	444922.6672
46	30.47676215	173058.4174	444922.3034
47	32.48889354	173060.0207	444922.1237
48	32.91327885	173061.7385	444921.9445
49	33.27110277	173063.6838	444922.137
50	33.70197475	173065.3989	444922.6995
51	35.55673227	173067.0002	444923.0762
52	32.11848458	173068.2553	444924.1933
53	32.21036291	173069.0546	444924.7525
54	31.60612727	173069.3906	444926.7935
55	32.6106087	173069.0398	444928.8319
56	32.40645435	173067.8891	444930.4966
57	33.10957378	173066.6258	444931.6046
58	31.42218842	173064.6764	444932.5247
59	30.79845472	173062.6146	444932.8881
60	29.26932141	173060.5541	444932.8807
61	28.32792632	173058.7252	444932.1323
62	29.88150256	173057.357	444930.6439
63	32.88383538	173055.6459	444928.9688
64	31.87752199	173054.2783	444927.295
65	32.49965277	173053.4837	444925.4378
66	29.43107683	173053.1477	444923.3969
67	29.43164587	173054.0715	444921.175
68	30.46035149	173055.9105	444919.142
69	27.63903818	173058.2059	444917.4814
70	29.01944318	173062.7882	444916.5708
71	30.12752813	173064.6177	444917.1338
72	32.03840137	173066.1025	444918.0663
73	30.97777745	173067.5866	444919.1843
74	31.02595292	173068.9563	444920.3018
75	30.33991509	173069.9811	444921.789
76	47.00180415	173070.433	444923.4595
77	47.83650504	173070.4276	444924.9429
78	48.81034704	173069.963	444926.7955
79	45.35955497	173069.1556	444928.4615
80	47.54839034	173068.0049	444930.1262
81	43.25956781	173066.9699	444931.4205
82	45.55804428	173065.4778	444932.5276
83	42.78698491	173062.8415	444933.4452
84	40.86149033	173061.1265	444932.8827
85	43.74749645	173058.9555	444931.7623
86	49.70354458	173056.9011	444930.086
87	46.85931248	173054.9618	444928.2246
88	46.7101245	173053.481	444926.1795
89	43.39865717	173052.8016	444924.1373
90	46.83628947	173052.8069	444922.6539
91	42.81726238	173053.613	444921.3588
92	43.01692177	173054.9893	444920.6221
93	44.29595276	173056.8229	444920.0724
94	45.5059292	173058.884	444919.8945
95	30.1329821	173060.9439	444920.0873
96	30.24592207	173063.0024	444920.6511
97	29.74613755	173064.0306	444921.2111
98	30.4637793	173064.7168	444921.399
99	29.38422139	173065.8608	444921.5886
100	46.06721697	173067.691	444921.9661
